word,score
stock,0.0011549629068400348
year,0.001146032126879507
share,0.0010340204449045681
friday,0.000975607969301439
market,0.0009518074339315566
company,0.0008581211972171976
firm,0.0008567212144849136
ceo,0.0008502172292342253
follow,0.000815349315945994
gain,0.0007727832637955
meeting,0.0007654472688444332
trump,0.0007546054401078665
report,0.0007543592907987977
result,0.0007092963294809547
investor,0.0006923708669526587
announce,0.0006894428299449802
donald,0.0006718911868370156
include,0.0006695982740887078
jones,0.0006447598998977371
street,0.0006422226705420294
national,0.0006351417685797334
price,0.0006324392807538371
president,0.0006271589929217117
day,0.0006173439761627001
cnbc,0.0006154940981644687
ahead,0.0006149171814528607
rise,0.000610213810332343
major,0.0006069836696629001
near,0.0006050529008257881
write,0.0005933987824499156
december,0.000591468013612804
early,0.0005885596966661981
government,0.0005793619168071529
session,0.0005691265485891822
economist,0.0005620456466268862
high,0.0005611437729311608
social,0.0005498902859531745
range,0.0005478435225139353
jump,0.0005346297228918489
trade,0.000531350318354345
fall,0.0005286072598779274
dow,0.0005271777333386549
late,0.0005196153091395921
billion,0.0005181365187322588
decline,0.0005112909896976608
slightly,0.0005102325507492862
bank,0.0005096962046882
washington,0.0005073242338026804
directly,0.0005062657948543058
target,0.0004979611954734471
new,0.0004968534926570118
job,0.0004903790512133117
poll,0.00048641229531833134
europe,0.00048498276877905876
china,0.00048498276877905876
deal,0.00048387506596262353
estimate,0.00048244553942335095
positive,0.00048064492529318036
payroll,0.0004793313933560353
look,0.00047810769593747255
likely,0.0004753646374610549
general,0.0004753646374610549
policy,0.0004713978815660745
consumer,0.000463650478835751
watch,0.00046116251334810387
raise,0.00046116251334810387
charge,0.00045656957687345486
vehicle,0.0004555111379250804
greenland,0.0004544526989767058
economic,0.0004540816113858078
rate,0.00044633420865548433
month,0.0004460988357277863
truth,0.0004458930066070764
project,0.00044527576970710976
federal,0.00044012563658192544
roughly,0.0004345991994407313
cut,0.0004342281118498333
quarter,0.0004339927389221353
period,0.00043316967290145874
value,0.00042920291700647835
remain,0.00042523616111149806
track,0.00042460998053182934
america,0.00042355154158345493
finish,0.00042355154158345493
successful,0.00042355154158345493
growth,0.0004127097128468882
support,0.00041183738295815105
capital,0.00040934941747050385
post,0.0004084878639631372
bell,0.00040226851550820785
receive,0.00039973128615250004
squawk,0.00039830175961322746
time,0.00038888945741593327
electric,0.0003886836282952235
nicolás,0.0003886836282952235
relate,0.0003886836282952235
maduro,0.0003886836282952235
average,0.00037844826007725295
increase,0.0003765983820790216
intel,0.0003727968846542294
strike,0.00036740060221997645
maintain,0.00036740060221997645
create,0.00036486337286426864
cite,0.00036343384632499606
note,0.0003608966169692882
past,0.00035946709043001567
outside,0.0003575363215929039
close,0.00035356956569792354
index,0.00034611757614472937
change,0.00034358034678902156
end,0.00034358034678902156
lead,0.00034358034678902156
view,-1.0841828736566644e-05
manufacturing,-1.3584887212984317e-05
boost,-1.3584887212984317e-05
buildout,-1.383103652205295e-05
video,-1.792273069886274e-05
think,-2.083104764546862e-05
store,-2.2390728891682347e-05
clear,-2.38202554309549e-05
information,-2.38202554309549e-05
instead,-2.38202554309549e-05
digit,-2.38202554309549e-05
recommendation,-2.38202554309549e-05
